id,rate,name
45,3.81655332559,South Carolina
54,3.58912631864,West Virginia
37,3.62938856016,North Carolina
50,3.69449013158,Vermont
49,3.53206470029,Utah
32,3.64198454251,Nevada
24,3.42718840972,Maryland
25,3.6337446723,Massachusetts
26,3.58671448453,Michigan
27,3.60948933703,Minnesota
6,3.58146932985,California
21,3.74863710034,Kentucky
22,3.56967840735,Louisiana
23,3.64126570277,Maine
46,3.6661498708,South Dakota
47,3.60202922078,Tennessee
8,3.45877330937,Colorado
9,3.60161422536,Connecticut
42,3.63385900862,Pennsylvania
29,3.59361096929,Missouri
40,3.53154219434,Oklahoma
41,3.58609483706,Oregon
35,3.49574953349,New Mexico
28,3.99640933573,Mississippi
2,3.98572996707,Alaska
44,3.74624505929,Rhode Island
56,3.59079061685,Wyoming
1,3.68428571429,Alabama
39,3.49186215904,Ohio
38,3.54634146341,North Dakota
30,3.62347826087,Montana
20,3.5218566922,Kansas
11,3.73628488932,District of Columbia
10,3.55324196099,Delaware
13,3.51631675034,Georgia
12,3.49980879541,Florida
15,3.57578166402,Hawaii
4,3.47978257988,Arizona
17,3.51431130422,Illinois
16,3.38727415554,Idaho
55,3.57698489232,Wisconsin
18,3.72527770252,Indiana
31,3.49080882353,Nebraska
5,3.50467081851,Arkansas
51,3.61439399514,Virginia
36,3.57181816877,New York
53,3.62785762257,Washington
34,3.62782062268,New Jersey
19,3.79783906739,Iowa
48,3.62100342426,Texas
33,3.62975951904,New Hampshire
3.99640933573
3.38727415554
