id,title,rate
1,Braveheart (1995),4.53333333333
2,Shakespeare in Love (1998),4.33333333333
4,American Beauty (1999),4.46808510638
5,Star Wars: Episode V - The Empire Strikes Back (1980),4.375
6,American Beauty (1999),4.35023041475
8,American Beauty (1999),4.61904761905
9,American Beauty (1999),4.43137254902
10,Star Wars: Episode IV - A New Hope (1977),4.91666666667
11,American Beauty (1999),4.28571428571
12,Saving Private Ryan (1998),4.27631578947
13,American Beauty (1999),4.10714285714
15,Braveheart (1995),3.71428571429
16,Bug's Life, A (1998),3.66666666667
17,American Beauty (1999),4.38636363636
18,American Beauty (1999),4.0
19,L.A. Confidential (1997),4.35714285714
20,American Beauty (1999),4.47826086957
21,Terminator 2: Judgment Day (1991),4.13043478261
22,American Beauty (1999),4.66666666667
23,American Beauty (1999),4.55882352941
24,American Beauty (1999),4.07547169811
25,American Beauty (1999),4.22598870056
26,Star Wars: Episode IV - A New Hope (1977),4.41085271318
27,Star Wars: Episode V - The Empire Strikes Back (1980),4.22553191489
28,Schindler's List (1993),5.0
29,American Beauty (1999),4.31818181818
30,Men in Black (1997),3.7
31,Star Wars: Episode V - The Empire Strikes Back (1980),4.47058823529
32,American Beauty (1999),4.52941176471
33,Star Wars: Episode IV - A New Hope (1977),4.65217391304
34,American Beauty (1999),4.4
35,Fargo (1996),3.86666666667
36,American Beauty (1999),4.2673992674
37,Star Wars: Episode VI - Return of the Jedi (1983),3.86274509804
38,Braveheart (1995),4.8
39,American Beauty (1999),4.36290322581
34,American Beauty (1999),4.4
41,American Beauty (1999),4.40540540541
42,American Beauty (1999),4.18367346939
44,Raiders of the Lost Ark (1981),4.41666666667
45,Star Wars: Episode IV - A New Hope (1977),4.27272727273
46,Braveheart (1995),4.66666666667
47,Star Wars: Episode IV - A New Hope (1977),4.32
48,American Beauty (1999),4.40119760479
49,Raiders of the Lost Ark (1981),4.68421052632
50,Star Wars: Episode VI - Return of the Jedi (1983),3.2
51,American Beauty (1999),4.21904761905
53,American Beauty (1999),4.24576271186
54,Speed (1994),3.4
55,Star Wars: Episode IV - A New Hope (1977),4.37647058824
56,Schindler's List (1993),4.8
